Year,Upset Count,Upset Size Sum,Parity Score
1985,18,93,3.6105488708489912
1986,18,105,5.10738073322836
1987,18,85,4.366489911579309
1988,17,74,5.038923742926084
1989,20,68,5.304293592431126
1990,20,97,4.5663598120812825
1991,16,74,5.352265883390435
1992,15,64,4.84796479923655
1993,12,53,4.843963467223852
1994,18,64,4.221277490348038
1995,14,61,4.156246276372658
1996,15,64,4.794755109188937
1997,16,74,4.411271246912938
1998,18,73,4.9741426270833315
1999,23,103,5.136067935347544
2000,19,74,4.906033729502612
2001,21,93,4.726178483963945
2002,16,95,4.3443221804572065
2003,21,66,4.224539252840353
2004,16,61,4.174216282656479
2005,19,78,4.591747795311057
2006,21,101,3.557824540755596
2007,12,26,3.699777145982011
2008,13,64,4.165700038683022
2009,16,53,4.006415724187557
2010,20,96,3.7171320002245576
2011,20,98,3.9114337984761542
2012,17,87,4.171368268960931
2013,20,105,4.0879862069696005
2014,22,111,3.802481001228788
2015,12,61,4.669937454661447
2016,20,97,3.974183252688728
